boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2,1,0,0,3,2,0,0
2,3,1,0,0,4,2,0,0
2,2,0,0,0,4,2,0,0
2,0,0,0,-1,0,0,0,0
2,1,0,1,-1,0,0,0,0
2,0,0,0,-1,0,0,0,0
2,0,1,1,-1,0,0,0,0
2,1,0,1,-1,0,0,0,0
2,1,1,1,-1,0,0,0,0
2,2,1,1,0,7,2,0,0
2,1,0,1,-1,0,0,0,0
2,1,0,1,-1,0,0,0,0
2,2,0,0,0,5,2,0,0
2,2,0,1,0,5,2,0,0
2,1,0,1,-1,0,0,0,0
2,2,1,1,0,4,2,0,0
2,3,0,0,0,4,2,0,0
2,1,0,0,-1,0,0,0,0
2,3,1,1,0,6,2,0,0
2,0,1,0,-1,0,0,0,0
2,0,0,0,-1,0,0,0,0
2,2,1,0,0,3,2,0,0
2,1,1,1,-1,0,0,0,0
2,1,0,1,-1,0,0,0,0
2,2,1,1,0,4,2,0,0
2,0,0,1,-1,0,0,0,0
2,0,1,0,-1,0,0,0,0
2,1,1,1,-1,0,0,0,0
2,2,0,1,0,5,2,0,0
2,3,0,1,0,4,2,0,0
2,3,0,1,0,5,2,0,0
2,3,0,0,0,5,2,0,0
2,2,0,1,0,5,2,0,0
2,3,1,1,0,4,2,0,0
2,3,0,1,0,4,2,0,0
2,0,0,0,-1,0,0,0,0
2,0,0,1,-1,0,0,0,0
2,3,1,0,0,4,2,0,0
2,3,1,1,0,5,2,0,0
2,3,1,0,0,11,2,0,0
2,2,1,0,0,4,2,0,0
2,2,1,1,0,5,2,0,0
2,0,1,1,-1,0,0,0,0
2,3,0,1,0,5,2,0,0
2,2,0,1,0,4,2,0,0
2,0,0,0,-1,0,0,0,0
2,1,0,1,-1,0,0,0,0
2,2,0,0,0,5,2,0,0
2,3,1,0,0,7,2,0,0
2,1,1,0,-1,0,0,0,0
2,2,1,0,0,3,2,0,0
2,2,1,0,0,7,2,0,0
2,2,1,1,0,4,2,0,0
2,1,0,0,-1,0,0,0,0
2,3,0,1,0,3,2,0,0
2,3,1,1,0,4,2,0,0
2,3,1,0,0,4,2,0,0
2,3,1,1,0,12,2,0,0
2,3,0,0,0,7,2,0,0
2,3,0,0,0,3,2,0,0
2,3,1,0,0,12,2,0,0
2,2,0,1,0,4,2,0,0
2,3,1,1,0,5,2,0,0
2,1,0,1,-1,0,0,0,0
2,0,0,0,-1,0,0,0,0
2,0,0,0,-1,0,0,0,0
2,2,1,1,0,5,2,0,0
2,1,0,1,-1,0,0,0,0
2,3,0,0,0,4,2,0,0
2,1,0,0,-1,0,0,0,0
2,1,1,0,-1,0,0,0,0
2,3,0,1,0,9,2,0,0
2,0,1,1,-1,0,0,0,0
2,4,1,0,0,4,2,0,0
2,3,0,0,0,4,2,0,0
